storm_ID,Region_ID,Track_ID,Track_lat,Track_lon,Heading,dP,Rmax,Translational_speed,DSW
1.0,3.0,1.0,35.00696646998752,-76.11733121976151,-60.0,88.0,38.6,18.3,1.39782767410393e-09
2.0,3.0,1.0,35.00696646998752,-76.11733121976151,-60.0,78.0,108.4,28.8,0.00026116503371092966
3.0,3.0,1.0,35.00696646998752,-76.11733121976151,-60.0,68.0,62.0,42.5,0.0009600992800866845
4.0,3.0,1.0,35.00696646998752,-76.11733121976151,-60.0,58.0,46.6,31.9,0.000749832187517581
5.0,3.0,1.0,35.00696646998752,-76.11733121976151,-60.0,48.0,63.9,12.0,0.0008629807048037197
6.0,3.0,1.0,35.00696646998752,-76.11733121976151,-60.0,38.0,72.3,18.6,0.0020455439499366913
7.0,3.0,1.0,35.00696646998752,-76.11733121976151,-60.0,28.0,26.2,39.5,1.331196645696155e-06
8.0,3.0,2.0,35.34053166946516,-75.50248930759085,-60.0,88.0,113.5,24.7,3.271584376708925e-05
9.0,3.0,2.0,35.34053166946516,-75.50248930759085,-60.0,78.0,50.7,29.9,2.060250240296681e-05
10.0,3.0,2.0,35.34053166946516,-75.50248930759085,-60.0,68.0,25.8,31.4,2.0366916498057993e-08
11.0,3.0,2.0,35.34053166946516,-75.50248930759085,-60.0,58.0,37.3,12.0,9.854273153439417e-05
12.0,3.0,2.0,35.34053166946516,-75.50248930759085,-60.0,48.0,77.4,43.5,0.0001815871641065844
13.0,3.0,2.0,35.34053166946516,-75.50248930759085,-60.0,38.0,71.9,12.8,0.0017009269239000536
14.0,3.0,2.0,35.34053166946516,-75.50248930759085,-60.0,28.0,39.4,39.5,1.5950041612187723e-05
15.0,3.0,3.0,36.0411894821736,-75.67255142171969,-60.0,88.0,104.8,24.0,2.3528107626010045e-05
16.0,3.0,3.0,36.0411894821736,-75.67255142171969,-60.0,78.0,50.4,29.9,9.00589487345394e-06
17.0,3.0,3.0,36.0411894821736,-75.67255142171969,-60.0,68.0,39.3,12.0,5.08163668808495e-06
18.0,3.0,3.0,36.0411894821736,-75.67255142171969,-60.0,58.0,25.6,29.4,1.1170991698140906e-07
19.0,3.0,3.0,36.0411894821736,-75.67255142171969,-60.0,48.0,81.6,44.3,0.0001654509599823597
20.0,3.0,3.0,36.0411894821736,-75.67255142171969,-60.0,38.0,68.1,14.8,0.0008636895158221192
21.0,3.0,3.0,36.0411894821736,-75.67255142171969,-60.0,28.0,41.8,40.4,7.671343373808499e-06
22.0,3.0,4.0,36.788861620527925,-75.95756673470429,-60.0,88.0,50.3,40.0,3.163260183100003e-07
23.0,3.0,4.0,36.788861620527925,-75.95756673470429,-60.0,78.0,50.5,28.7,6.0022909311887295e-06
24.0,3.0,4.0,36.788861620527925,-75.95756673470429,-60.0,68.0,107.2,26.1,0.000276369771211499
25.0,3.0,4.0,36.788861620527925,-75.95756673470429,-60.0,58.0,64.9,12.0,0.00023376115769562582
26.0,3.0,4.0,36.788861620527925,-75.95756673470429,-60.0,48.0,28.2,34.5,2.8041616155222788e-06
27.0,3.0,4.0,36.788861620527925,-75.95756673470429,-60.0,38.0,36.6,12.8,0.0001357665069477306
28.0,3.0,4.0,36.788861620527925,-75.95756673470429,-60.0,28.0,75.1,37.9,4.691944496335128e-05
29.0,3.0,5.0,37.31366366292034,-75.76850103751879,-60.0,88.0,77.5,36.6,2.8355899416991633e-07
