lifecycle,year_offset,year,month,day,hour,storm_id
0,0,2033,9,8,22.582287411208558,177
0,0,2033,10,9,4.017415114608923,986
0,3,2036,10,7,13.183542395442583,132
0,4,2037,8,5,22.074685771582672,968
0,4,2037,9,1,20.92266628750456,986
0,4,2037,9,12,14.212902162265916,617
0,4,2037,9,20,10.695872099687605,430
0,4,2037,10,5,4.46804030626616,859
0,5,2038,9,14,21.55965582753018,558
0,5,2038,11,21,2.553305397747616,216
0,6,2039,8,25,8.059537521083659,175
0,6,2039,10,26,22.86883743983064,859
0,6,2039,11,22,18.695479895024924,908
0,7,2040,8,30,23.58064796713476,949
0,8,2041,8,28,1.65050314639507,981
0,8,2041,9,6,15.024632402648592,550
0,8,2041,10,9,6.182749685883411,946
0,9,2042,8,27,3.150234098409033,322
0,9,2042,10,8,11.193648086259742,577
0,10,2043,9,13,6.690132679366833,845
0,11,2044,6,2,10.226760498727316,1050
0,11,2044,8,3,2.8585675171664047,544
0,11,2044,8,15,17.127917714232645,199
0,11,2044,10,15,4.2664527339469736,984
0,12,2045,7,22,22.101071141072534,842
0,12,2045,8,31,16.76041507127878,688
0,13,2046,8,16,13.705765785422464,868
0,13,2046,9,12,0.07280195194023342,618
0,13,2046,10,3,23.074420375077054,347
0,16,2049,6,24,9.90727664669232,1005
0,16,2049,7,30,16.013653892548874,688
0,16,2049,9,6,11.983194682278182,577
0,16,2049,9,23,20.039160526307086,131
0,19,2052,9,28,20.096582886580386,609
0,20,2053,7,8,5.6817692103966735,599
0,20,2053,8,9,14.127929494516287,267
0,20,2053,9,7,14.227153277093832,60
0,20,2053,11,23,18.408222425821737,321
0,21,2054,9,11,10.48558383389501,148
0,21,2054,10,23,13.922368655622396,868
0,23,2056,8,10,5.35041421410242,226
0,25,2058,8,2,11.708126818230472,904
0,25,2058,9,19,18.766128812364745,252
0,25,2058,10,12,3.7670208167249006,485
0,26,2059,8,8,4.365707667868412,958
0,26,2059,9,12,21.168069850479334,781
0,26,2059,11,1,9.483707951838902,132
0,27,2060,9,2,17.92185563209262,984
0,28,2061,9,1,16.548349569510314,570
0,28,2061,9,20,2.396590316576005,253
0,28,2061,10,15,7.364985281199347,1045
0,29,2062,8,18,11.873271616541555,1031
0,29,2062,8,30,4.858178894184245,787
0,29,2062,10,8,8.185133279037,418
0,30,2063,8,14,2.660760913707821,597
0,30,2063,8,24,3.99337655422403,430
0,30,2063,9,27,5.829508024479885,523
0,31,2064,10,5,4.576905944566365,688
0,32,2065,9,10,18.711637199326677,993
0,32,2065,9,30,17.458043964717277,895
0,34,2067,6,21,17.437516099163183,1038
0,37,2070,9,1,22.893989422736546,1023
0,38,2071,8,9,19.523435996331763,240
0,38,2071,9,5,17.333776107056696,60
0,38,2071,9,21,10.493514246552099,969
0,38,2071,10,10,1.419126587188062,63
0,42,2075,8,28,19.314190827352295,662
0,43,2076,10,4,15.375148202348905,831
0,44,2077,8,15,6.970882862705473,1040
0,44,2077,9,4,7.586020215497275,162
0,44,2077,9,27,4.786570099882865,666
0,44,2077,11,27,2.634749744010625,443
0,45,2078,9,24,23.212364938985974,308
0,46,2079,8,12,2.6484858299855762,923
0,46,2079,9,1,16.29110042396001,1023
0,47,2080,10,2,16.89788743947292,510
0,48,2081,6,21,3.6053188069185964,150
0,48,2081,7,7,2.86740459614989,896
0,48,2081,8,6,12.554162084649626,986
0,48,2081,9,9,14.950142419072375,922
0,48,2081,9,17,5.757617454276438,991
0,48,2081,10,20,0.25841248312390075,266
0,49,2082,8,25,4.808591111898257,240
0,49,2082,9,20,20.304597322232603,945
0,49,2082,11,5,21.090787409228042,565
1,0,2033,7,7,12.68492914931025,498
1,1,2034,9,8,9.609700190401258,1038
1,3,2036,8,22,12.059104672890836,267
1,3,2036,9,20,2.79797532598979,456
1,3,2036,10,5,5.280970851705793,2
1,3,2036,11,13,13.983535403975665,541
1,4,2037,8,27,6.991371917522173,252
