stormID,regionID,masterTrackID,referenceLatitude,referenceLongitude,headingDirection,centralPressureDeficit,radiusOfMaximumWind,translationalSpeed,DSW
113,3,51,35.2719751098524,-75.5241102700989,-20,98,48.3,25.7,5.58845391900426E-10
114,3,51,35.2719751098524,-75.5241102700989,-20,88,117.1,28.8,5.16722644655173E-05
115,3,51,35.2719751098524,-75.5241102700989,-20,78,68.4,42.5,0.000333796951552241
116,3,51,35.2719751098524,-75.5241102700989,-20,68,47,24,0.000247639404467593
117,3,51,35.2719751098524,-75.5241102700989,-20,58,72,12.4,0.00294279498724515
118,3,51,35.2719751098524,-75.5241102700989,-20,48,32.6,41.4,0.000164253565926394
119,3,51,35.2719751098524,-75.5241102700989,-20,38,30.5,12,0.000172635051930195
120,3,52,37.3410913274813,-75.7450984679797,-20,98,62.8,27.9,7.17937350843455E-12
121,3,52,37.3410913274813,-75.7450984679797,-20,88,38.2,22.2,3.67764423433956E-11
122,3,52,37.3410913274813,-75.7450984679797,-20,78,114.8,26.5,1.4894389916074E-05
123,3,52,37.3410913274813,-75.7450984679797,-20,68,69.8,38.5,0.000436857314935714
124,3,52,37.3410913274813,-75.7450984679797,-20,58,25,24.8,4.83526804382129E-07
125,3,52,37.3410913274813,-75.7450984679797,-20,48,43.7,42.7,0.00117593931426048
126,3,52,37.3410913274813,-75.7450984679797,-20,38,62.8,12,0.001079857192331
127,3,53,37.929697202987,-75.3144777177006,-20,98,59.3,19,1.39066882607448E-15
128,3,53,37.929697202987,-75.3144777177006,-20,88,116.1,33.3,3.02587586206797E-08
129,3,53,37.929697202987,-75.3144777177006,-20,78,27.4,36.5,9.75481032516829E-10
130,3,53,37.929697202987,-75.3144777177006,-20,68,37.1,20.5,5.60290295078003E-07
131,3,53,37.929697202987,-75.3144777177006,-20,58,56.1,45.7,0.00138610438562347
132,3,53,37.929697202987,-75.3144777177006,-20,48,75.1,21.1,0.00286542273240119
133,3,53,37.929697202987,-75.3144777177006,-20,38,45,19.8,0.00130494314228194
134,3,54,38.8674489606001,-75.0530173843015,-20,98,48.5,32.5,4.29853110380283E-16
135,3,54,38.8674489606001,-75.0530173843015,-20,88,100.1,17.1,3.17956204181468E-11
136,3,54,38.8674489606001,-75.0530173843015,-20,78,86.7,43.7,6.81988964595746E-06
137,3,54,38.8674489606001,-75.0530173843015,-20,68,28.3,20.5,1.80524443291182E-09
138,3,54,38.8674489606001,-75.0530173843015,-20,58,50.3,12,1.21606911181768E-05
139,3,54,38.8674489606001,-75.0530173843015,-20,48,65.2,27.4,0.00234708741863246
140,3,54,38.8674489606001,-75.0530173843015,-20,38,38.5,45.6,0.00102389359131218
141,3,72,34.6866711847898,-76.88,0,88,42.3,31.2,2.28099685670439E-09
142,3,72,34.6866711847898,-76.88,0,83,52.8,12,2.16654129760896E-07
143,3,72,34.6866711847898,-76.88,0,78,77.2,34.8,0.000479172953666969
144,3,72,34.6866711847898,-76.88,0,73,132.9,25.8,0.000153071720887463
145,3,72,34.6866711847898,-76.88,0,68,40.2,16.3,5.67242381581435E-06
146,3,72,34.6866711847898,-76.88,0,63,26.3,13.3,1.03845100879414E-08
147,3,72,34.6866711847898,-76.88,0,58,29.3,38.1,4.46120098144918E-06
148,3,72,34.6866711847898,-76.88,0,53,55.4,21.1,0.00717917151680594
149,3,72,34.6866711847898,-76.88,0,48,51.3,47.6,0.00464012221547258
150,3,72,34.6866711847898,-76.88,0,43,71,15.1,0.00456477584807822
151,3,72,34.6866711847898,-76.88,0,38,59.1,38.5,0.00103718295828348
152,3,72,34.6866711847898,-76.88,0,33,98.5,34.8,0.000698466181821816
153,3,72,34.6866711847898,-76.88,0,28,33.1,19.8,0.000379379996283583
154,3,73,35.0200124333019,-76.1,0,88,52.9,27.3,1.68809983120512E-07
155,3,73,35.0200124333019,-76.1,0,83,39.1,12,2.49272873595309E-09
156,3,73,35.0200124333019,-76.1,0,78,144.5,20.3,1.48822934208826E-05
157,3,73,35.0200124333019,-76.1,0,73,48.7,46.4,2.27736053588074E-05
158,3,73,35.0200124333019,-76.1,0,68,79.2,28.9,0.00363133118037643
159,3,73,35.0200124333019,-76.1,0,63,26.6,27.6,1.11713104941547E-08
160,3,73,35.0200124333019,-76.1,0,58,41.6,12,0.000241590865570608
161,3,73,35.0200124333019,-76.1,0,53,87.4,12,0.00107307747325109
162,3,73,35.0200124333019,-76.1,0,48,75.6,41.6,0.0028177833333748
163,3,73,35.0200124333019,-76.1,0,43,39,33.2,0.00121553762566246
164,3,73,35.0200124333019,-76.1,0,38,25,12.7,6.50722876801958E-05
165,3,73,35.0200124333019,-76.1,0,33,49.7,12,0.00230059781208289
166,3,73,35.0200124333019,-76.1,0,28,83.1,24.3,0.00235572022641232
167,3,74,37.8512734214395,-75.44,0,88,93.2,27.9,2.58733462611712E-09
168,3,74,37.8512734214395,-75.44,0,83,59,31,1.47825093061162E-08
169,3,74,37.8512734214395,-75.44,0,78,41,30.7,1.52484497184857E-08
170,3,74,37.8512734214395,-75.44,0,73,63.5,12,1.97435930039998E-07
171,3,74,37.8512734214395,-75.44,0,68,40.2,15.9,1.71358472613732E-07
172,3,74,37.8512734214395,-75.44,0,63,25,25,4.70375340687659E-08
173,3,74,37.8512734214395,-75.44,0,58,68.5,46.6,0.00230858386510045
174,3,74,37.8512734214395,-75.44,0,53,113.9,25.3,0.00107365063503024
175,3,74,37.8512734214395,-75.44,0,48,77.7,20.9,0.00293474529543221
176,3,74,37.8512734214395,-75.44,0,43,45.3,35.5,0.00218317070081403
177,3,74,37.8512734214395,-75.44,0,38,67.1,25.9,0.00210063360345811
178,3,74,37.8512734214395,-75.44,0,33,25,53.3,4.82498515877398E-05
179,3,74,37.8512734214395,-75.44,0,28,52.6,15.7,0.000680577059104383
180,3,75,39.0209919833145,-74.78,0,88,51.4,24.2,3.06264403626833E-12
181,3,75,39.0209919833145,-74.78,0,83,28.8,38.2,2.01578359440957E-12
182,3,75,39.0209919833145,-74.78,0,78,139.9,32.2,1.93904939843146E-07
183,3,75,39.0209919833145,-74.78,0,73,64.3,25.4,6.70343873826501E-07
184,3,75,39.0209919833145,-74.78,0,68,59.4,50.7,0.000200680406617975
185,3,75,39.0209919833145,-74.78,0,63,72.8,12,6.86673813529232E-06
186,3,75,39.0209919833145,-74.78,0,58,37.7,14.2,7.43899080946183E-08
187,3,75,39.0209919833145,-74.78,0,53,42.1,40.5,0.000155101251038007
188,3,75,39.0209919833145,-74.78,0,48,25,24.7,9.38720645141287E-09
189,3,75,39.0209919833145,-74.78,0,43,51.6,22.1,0.0011704090958405
190,3,75,39.0209919833145,-74.78,0,38,92.4,32.2,0.000664517839852361
191,3,75,39.0209919833145,-74.78,0,33,70.7,21.4,0.00035959105764284
192,3,75,39.0209919833145,-74.78,0,28,39.1,35.9,0.000599231042502807
193,3,107,36.5,-76.4992578967236,20,88,63.2,28.5,4.68206767734366E-08
194,3,107,36.5,-76.4992578967236,20,83,32.9,26.4,2.01192840943458E-10
195,3,107,36.5,-76.4992578967236,20,78,139.9,29,1.62315098557972E-05
196,3,107,36.5,-76.4992578967236,20,73,71.1,49.4,0.000190032279068634
197,3,107,36.5,-76.4992578967236,20,68,59.6,12,2.25353642491912E-05
198,3,107,36.5,-76.4992578967236,20,63,55.8,12,6.13168064369204E-05
199,3,107,36.5,-76.4992578967236,20,58,72.9,28.5,0.00236435380069879
200,3,107,36.5,-76.4992578967236,20,53,30.8,46,3.72646134206501E-05
201,3,107,36.5,-76.4992578967236,20,48,34.6,48.2,0.000288103924041013
202,3,107,36.5,-76.4992578967236,20,43,88.1,20.6,0.00226780802038176
203,3,107,36.5,-76.4992578967236,20,38,25.4,17,0.000317777793840466
204,3,107,36.5,-76.4992578967236,20,33,40.7,21.8,0.001376022278829
205,3,107,36.5,-76.4992578967236,20,28,58.5,34.6,0.000644040899692723
206,3,108,36.5,-75.7898947767086,20,88,58.9,33,7.19650349797441E-08
207,3,108,36.5,-75.7898947767086,20,83,103.9,35.5,1.1796474828471E-05
208,3,108,36.5,-75.7898947767086,20,78,45.6,24,4.90644431900756E-07
209,3,108,36.5,-75.7898947767086,20,73,52.5,12,3.02805231210968E-06
210,3,108,36.5,-75.7898947767086,20,68,31,28.6,5.68501290128302E-07
211,3,108,36.5,-75.7898947767086,20,63,47.1,37.5,0.000277824381720875
212,3,108,36.5,-75.7898947767086,20,58,142.4,12.9,0.00010552442088116
213,3,108,36.5,-75.7898947767086,20,53,69.3,17.3,0.00213530958446795
214,3,108,36.5,-75.7898947767086,20,48,42.9,59.3,0.000703955280322801
215,3,108,36.5,-75.7898947767086,20,43,26.8,12,0.000430481293764043
216,3,108,36.5,-75.7898947767086,20,38,73,34.5,0.00248783497919827
217,3,108,36.5,-75.7898947767086,20,33,25,26.5,0.000163499709353339
218,3,108,36.5,-75.7898947767086,20,28,55,33,0.000802707443626381
219,3,109,36.5,-75.0697649614681,20,88,39.8,26.7,3.47745577448186E-12
220,3,109,36.5,-75.0697649614681,20,83,75.5,18.1,2.04904666943216E-08
221,3,109,36.5,-75.0697649614681,20,78,106.3,50.1,6.50526209424155E-05
222,3,109,36.5,-75.0697649614681,20,73,63.2,35.8,2.19751315728803E-05
223,3,109,36.5,-75.0697649614681,20,68,135.5,21.3,7.52526670740717E-05
224,3,109,36.5,-75.0697649614681,20,63,25,37.6,2.16957850117601E-07
225,3,109,36.5,-75.0697649614681,20,58,48.2,12,2.46647563521624E-05
226,3,109,36.5,-75.0697649614681,20,53,53.9,27.4,0.0022742143726281
227,3,109,36.5,-75.0697649614681,20,48,38.4,44.6,0.00185393480127822
228,3,109,36.5,-75.0697649614681,20,43,33.7,32.6,0.0014165275976728
229,3,109,36.5,-75.0697649614681,20,38,79.5,33.5,0.00261222615075811
230,3,109,36.5,-75.0697649614681,20,33,30.7,12.2,0.000511715803640163
231,3,109,36.5,-75.0697649614681,20,28,39.6,28.9,0.000662502528777612
232,3,110,36.5,-74.3598304541766,20,88,53.8,15.5,9.73387231825585E-12
233,3,110,36.5,-74.3598304541766,20,83,140.1,18.4,9.28008966179727E-08
234,3,110,36.5,-74.3598304541766,20,78,66.2,25.2,9.151405774426E-07
235,3,110,36.5,-74.3598304541766,20,73,55.8,44.3,5.65164812067847E-05
236,3,110,36.5,-74.3598304541766,20,68,78.7,18.9,5.54271391135041E-05
237,3,110,36.5,-74.3598304541766,20,63,28.6,17.7,4.35249371601335E-07
238,3,110,36.5,-74.3598304541766,20,58,33.4,43.7,0.000256865376421963
239,3,110,36.5,-74.3598304541766,20,53,33.3,19.1,0.000107983715753086
240,3,110,36.5,-74.3598304541766,20,48,50.8,32.8,0.00565666265659356
241,3,110,36.5,-74.3598304541766,20,43,100.1,35.3,0.00165020685006726
242,3,110,36.5,-74.3598304541766,20,38,25,34.3,0.000671502912468503
243,3,110,36.5,-74.3598304541766,20,33,74.5,12,0.00160613774826397
244,3,110,36.5,-74.3598304541766,20,28,46.4,28.6,0.00137958792388461
245,3,111,36.5,-73.6397384578369,20,88,43.5,18.4,5.44747152976506E-12
246,3,111,36.5,-73.6397384578369,20,83,103.9,19.4,4.06878437614317E-08
247,3,111,36.5,-73.6397384578369,20,78,25.5,42.4,4.64164965090076E-08
248,3,111,36.5,-73.6397384578369,20,73,94.9,35.7,0.000122376474260106
249,3,111,36.5,-73.6397384578369,20,68,55.4,19.1,1.06044258596765E-05
250,3,111,36.5,-73.6397384578369,20,63,71.1,23.5,0.000349469374710271
251,3,111,36.5,-73.6397384578369,20,58,86,51.6,0.00194790615249068
252,3,111,36.5,-73.6397384578369,20,53,49.2,44.8,0.0039512443581203
253,3,111,36.5,-73.6397384578369,20,48,66.6,12,0.00142712401432658
254,3,111,36.5,-73.6397384578369,20,43,25,12,0.000310539175519866
255,3,111,36.5,-73.6397384578369,20,38,41.5,29,0.00355606359550495
256,3,111,36.5,-73.6397384578369,20,33,31.9,29.1,0.00160478188141757
257,3,111,36.5,-73.6397384578369,20,28,71.4,27.5,0.00118766994281308
258,3,112,36.5,-72.9299726899641,20,88,67,23,1.40264858554358E-09
259,3,112,36.5,-72.9299726899641,20,83,85.5,16.2,2.08833087417222E-08
260,3,112,36.5,-72.9299726899641,20,78,43.8,15.9,2.53434066553825E-09
261,3,112,36.5,-72.9299726899641,20,73,62,49.1,0.00029214080301813
262,3,112,36.5,-72.9299726899641,20,68,43.9,38,9.28353114159146E-05
263,3,112,36.5,-72.9299726899641,20,63,137.1,32.5,0.000266803320688861
264,3,112,36.5,-72.9299726899641,20,58,27.8,31.3,9.67172018846075E-06
265,3,112,36.5,-72.9299726899641,20,53,27.5,25.9,1.15405269621014E-05
266,3,112,36.5,-72.9299726899641,20,48,47.5,28.5,0.00274042830962686
267,3,112,36.5,-72.9299726899641,20,43,79.3,27.2,0.003819290184813
268,3,112,36.5,-72.9299726899641,20,38,60,12,0.00198405237213879
269,3,112,36.5,-72.9299726899641,20,33,38.1,48.9,0.000900224072898277
270,3,112,36.5,-72.9299726899641,20,28,44.7,18.5,0.0015584412250216
271,3,125,36.5,-77.5094028585514,40,98,76,28.1,1.45059185261601E-10
272,3,125,36.5,-77.5094028585514,40,93,50.8,23,1.45322767878349E-10
273,3,125,36.5,-77.5094028585514,40,88,67.8,46.2,2.14941618803063E-07
274,3,125,36.5,-77.5094028585514,40,83,88.8,20.1,5.92420548506113E-07
275,3,125,36.5,-77.5094028585514,40,78,139.3,30.1,3.49425084835691E-06
276,3,125,36.5,-77.5094028585514,40,73,25.6,20,5.38926129316595E-10
277,3,125,36.5,-77.5094028585514,40,68,55.2,12,7.16546328612027E-06
278,3,125,36.5,-77.5094028585514,40,63,40.6,28.2,1.94670896873031E-05
279,3,125,36.5,-77.5094028585514,40,58,35.4,35,2.84527840028775E-05
280,3,125,36.5,-77.5094028585514,40,53,25,34.5,1.03448586826186E-06
281,3,125,36.5,-77.5094028585514,40,48,61.1,35,0.00318610540378897
282,3,125,36.5,-77.5094028585514,40,43,79,20.7,0.00160239334946355
283,3,125,36.5,-77.5094028585514,40,38,47.4,26.7,0.00223768560666954
284,3,126,36.5,-76.6390252090857,40,98,91.9,32.6,2.28884619014144E-10
285,3,126,36.5,-76.6390252090857,40,93,45.1,34.9,1.85054219682811E-11
286,3,126,36.5,-76.6390252090857,40,88,33.6,27.3,2.59006789839614E-12
287,3,126,36.5,-76.6390252090857,40,83,125.5,22.7,7.67932295539561E-07
288,3,126,36.5,-76.6390252090857,40,78,61.8,25.9,1.42235197108895E-06
289,3,126,36.5,-76.6390252090857,40,73,60.8,29.7,1.46993742718182E-05
290,3,126,36.5,-76.6390252090857,40,68,73.8,15,3.64551615464112E-05
291,3,126,36.5,-76.6390252090857,40,63,25,31.5,2.09927939551095E-08
292,3,126,36.5,-76.6390252090857,40,58,25,31.4,1.2309061480694E-07
293,3,126,36.5,-76.6390252090857,40,53,83.4,43.8,0.00242536223129331
294,3,126,36.5,-76.6390252090857,40,48,41.7,59.2,0.000522065697970943
295,3,126,36.5,-76.6390252090857,40,43,35.2,12,0.000972325555096433
296,3,126,36.5,-76.6390252090857,40,38,63,47.4,0.000623768010097427
297,3,127,36.5,-75.7593193633909,40,98,68.4,20,1.02794554780754E-11
298,3,127,36.5,-75.7593193633909,40,93,132.2,21.6,6.56438091039702E-09
299,3,127,36.5,-75.7593193633909,40,88,55.2,37.3,1.50368025191686E-08
300,3,127,36.5,-75.7593193633909,40,83,49.6,12,3.94292459517072E-09
301,3,127,36.5,-75.7593193633909,40,78,40.1,50.4,2.27829652231979E-07
302,3,127,36.5,-75.7593193633909,40,73,29.9,27.4,1.36438987254175E-08
303,3,127,36.5,-75.7593193633909,40,68,98.4,30.7,0.000247768121194338
304,3,127,36.5,-75.7593193633909,40,63,60.2,16.8,0.000108269413664676
305,3,127,36.5,-75.7593193633909,40,58,90,20.6,0.000734081176495057
306,3,127,36.5,-75.7593193633909,40,53,34.3,12.9,1.61210730840834E-05
307,3,127,36.5,-75.7593193633909,40,48,43.4,12,0.000320086829129218
308,3,127,36.5,-75.7593193633909,40,43,37.9,21.1,0.0020664689665722
309,3,127,36.5,-75.7593193633909,40,38,25.8,40.1,0.00013092278818517
310,3,128,36.5,-74.8793114836514,40,98,92.2,40,4.1120647626679E-11
311,3,128,36.5,-74.8793114836514,40,93,43.9,26.6,1.28900763401556E-13
312,3,128,36.5,-74.8793114836514,40,88,60.4,41.8,1.99731293354762E-09
313,3,128,36.5,-74.8793114836514,40,83,74.6,17.6,3.80249515573254E-09
314,3,128,36.5,-74.8793114836514,40,78,67.3,38.8,1.48306169256498E-06
315,3,128,36.5,-74.8793114836514,40,73,126.5,29.8,2.06353585326664E-05
316,3,128,36.5,-74.8793114836514,40,68,61.5,12,8.1548036661703E-07
317,3,128,36.5,-74.8793114836514,40,63,30.3,38.6,2.40795631872552E-06
318,3,128,36.5,-74.8793114836514,40,58,26.1,42,5.35108325301572E-06
319,3,128,36.5,-74.8793114836514,40,53,58.4,50.8,0.00240067197114168
320,3,128,36.5,-74.8793114836514,40,48,25,15.5,6.5123041072158E-06
321,3,128,36.5,-74.8793114836514,40,43,39.1,17.3,0.00178088633552969
322,3,128,36.5,-74.8793114836514,40,38,73.1,25.7,0.00253747504879373
323,3,129,36.5,-74.0094334307326,40,98,60.5,27,9.71497769519937E-14
324,3,129,36.5,-74.0094334307326,40,93,70.8,45.8,3.4794173065614E-10
325,3,129,36.5,-74.0094334307326,40,88,121.2,22.3,2.24244804200692E-09
