CRL_lat,CRL_lon,LI,MI,HI,Total
23.5,-97.75879873,0.51032662546034,0.134458984979759,0.14244272004219,0.787228330482289
23.5999176352219,-97.7436866516806,0.506996749071922,0.131556737006979,0.145356207523914,0.783909693602815
23.7007727339624,-97.7370019847309,0.502751165273317,0.128024906268003,0.147889382913294,0.778665454454614
23.8018518996289,-97.7354669885264,0.497880291906914,0.124300068918554,0.150192492446832,0.772372853272301
23.9029473992565,-97.735685232302,0.492591644772473,0.120487697285003,0.152231338557012,0.765310680614489
24.0040285596082,-97.7342642080213,0.488103807044387,0.116915634091637,0.154352378287436,0.75937181942346
24.1049609234612,-97.7286534997791,0.483937669761425,0.113600794408619,0.156508488918556,0.7540469530886
24.2056211400975,-97.7193234364503,0.480457644149372,0.11034101055386,0.158705190181195,0.749503844884427
24.306009934617,-97.7074031063216,0.477108365488487,0.107128764821417,0.160935683575763,0.745172813885666
24.40609969845,-97.6931998373357,0.474064265104042,0.104134157175175,0.1629431725304,0.741141594809617
24.5056300236943,-97.6755191023133,0.457095072501806,0.115494411358612,0.164808500252464,0.737397984112882
24.6043340433662,-97.6536891537948,0.455166365509545,0.112536657016759,0.166605540018546,0.734308562544851
24.7021966610074,-97.6283435255107,0.453549896836157,0.110038296772304,0.168276415114304,0.731864608722764
24.7993075056818,-97.6002483633791,0.4524974730203,0.108339293004612,0.170165427038782,0.731002193063693
24.8957917733929,-97.5700690790463,0.451803227738708,0.106608859539421,0.172010682753908,0.730422770032036
24.9913186843387,-97.5370004240291,0.450526915819196,0.105245510388351,0.173495829960101,0.729268256167648
25.0849909439298,-97.4990184525652,0.455413382097667,0.0991548490515484,0.175001814307737,0.729570045456952
25.1764667133338,-97.4559954911481,0.456785435775002,0.0976973186440515,0.176206024688451,0.730688779107504
25.266636377517,-97.4102839996033,0.458555985637163,0.0845148886455919,0.189340862820707,0.732411737103462
25.3558835662226,-97.3628006458945,0.460631256101461,0.0834033440256465,0.190437194491812,0.734471794618919
25.4433259920275,-97.3120811375972,0.463089276801879,0.0821536485502542,0.191821020635864,0.737063945987998
